target,model,r2,mae,rmse
log_total_GVA_2023,Linear Regression,0.5547972405963761,0.49045946288151054,0.7357035955396872
log_total_GVA_2023,LightGBM,0.55518650798785,0.44985794917070826,0.735381890381936
log_total_GVA_2023,XGBoost,0.5927496758709021,0.43407350643490117,0.703646730608786
log_total_GVA_2023,TabPFN,0.6071854995743785,0.41521367198225184,0.6910631100560826
log_gva_per_worker_2023,Linear Regression,0.15079921654858008,0.4768428225579014,0.7112118010580365
log_gva_per_worker_2023,LightGBM,0.10467379075747307,0.45982192976163766,0.730271597821009
log_gva_per_worker_2023,XGBoost,0.21749627937501492,0.41569746280106307,0.6827111043402339
log_gva_per_worker_2023,TabPFN,0.19884014874707734,0.41340194127309554,0.6908016238206687
log_GVA_2025_predicted,Linear Regression,0.5684473272691593,0.49931661847406783,0.741091175797036
log_GVA_2025_predicted,LightGBM,0.5780504881973159,0.46195027981171466,0.7327991909454343
log_GVA_2025_predicted,XGBoost,0.5963280944219576,0.4554290111005997,0.7167521415031588
log_GVA_2025_predicted,TabPFN,0.6325069701859007,0.43256706634282827,0.6838790346051327
