target,analysis_level,n_pairs,model_a,model_b,model_a_mean_absolute_error,model_b_mean_absolute_error,mean_paired_improvement_a_over_b,median_paired_improvement_a_over_b,wilcoxon_statistic,p_value_raw,rank_biserial_a_over_b,lower_mean_error,p_value_holm,significant_holm_0_05
log_total_GVA_2023,MSOA_primary,45,Linear Regression,LightGBM,0.4862842531509963,0.4550928978811208,-0.031191355269875508,-0.04825071086175314,368.0,0.09279399576837477,-0.28888888888888886,LightGBM,0.18558799153674954,False
log_total_GVA_2023,MSOA_primary,45,Linear Regression,XGBoost,0.4862842531509963,0.4334814007174852,-0.05280285243351125,-0.07693681529104102,283.0,0.0073769910127339244,-0.45314009661835747,XGBoost,0.03688495506366962,True
log_total_GVA_2023,MSOA_primary,45,Linear Regression,TabPFN,0.4862842531509963,0.4112416421601156,-0.07504261099088072,-0.08159586693853793,246.0,0.001736840082969593,-0.5246376811594203,TabPFN,0.010421040497817557,True
log_total_GVA_2023,MSOA_primary,45,LightGBM,XGBoost,0.4550928978811208,0.4334814007174852,-0.021611497163635748,-0.024067488518739466,380.0,0.12278925342104685,-0.26570048309178745,XGBoost,0.18558799153674954,False
log_total_GVA_2023,MSOA_primary,45,LightGBM,TabPFN,0.4550928978811208,0.4112416421601156,-0.0438512557210052,-0.03692666276565604,325.0,0.029249856040564737,-0.3719806763285024,TabPFN,0.11699942416225895,False
log_total_GVA_2023,MSOA_primary,45,XGBoost,TabPFN,0.4334814007174852,0.4112416421601156,-0.022239758557369458,-0.02568630377451578,348.0,0.055902186595972125,-0.32753623188405795,TabPFN,0.16770655978791638,False
log_total_GVA_2023,LSOA_sensitivity,221,Linear Regression,LightGBM,0.49045946288151054,0.44985794917070826,-0.04060151371080224,-0.03846618678377656,10503.0,0.06401401920120411,-0.14369573193102606,LightGBM,0.12802803840240823,False
log_total_GVA_2023,LSOA_sensitivity,221,Linear Regression,XGBoost,0.49045946288151054,0.43407350643490117,-0.056385956446609396,-0.057087611814363726,9430.0,0.0028860677945310633,-0.23117687823570177,XGBoost,0.014430338972655317,True
log_total_GVA_2023,LSOA_sensitivity,221,Linear Regression,TabPFN,0.49045946288151054,0.41521367198225184,-0.07524579089925881,-0.09656861562857166,8361.0,4.079098249550329e-05,-0.3183319065672007,TabPFN,0.00024474589497301973,True
log_total_GVA_2023,LSOA_sensitivity,221,LightGBM,XGBoost,0.44985794917070826,0.43407350643490117,-0.01578444273580715,-0.02466714641754386,10876.0,0.14425604826088856,-0.11328523093228976,XGBoost,0.14425604826088856,False
log_total_GVA_2023,LSOA_sensitivity,221,LightGBM,TabPFN,0.44985794917070826,0.41521367198225184,-0.03464427718845655,-0.030267943490362548,10068.0,0.02093293721745475,-0.17916106151400268,TabPFN,0.083731748869819,False
log_total_GVA_2023,LSOA_sensitivity,221,XGBoost,TabPFN,0.43407350643490117,0.41521367198225184,-0.018859834452649406,-0.026095867156982422,10247.0,0.033913904299745244,-0.16456728221434103,TabPFN,0.10174171289923573,False
log_gva_per_worker_2023,MSOA_primary,45,Linear Regression,LightGBM,0.4664417395340862,0.4620958686589775,-0.004345870875108678,-0.010613389106115534,479.0,0.67089655181951,-0.07439613526570048,LightGBM,1.0,False
log_gva_per_worker_2023,MSOA_primary,45,Linear Regression,XGBoost,0.4664417395340862,0.4143258143719119,-0.052115925162174066,-0.031992215694844006,288.0,0.008814383384617486,-0.4434782608695652,XGBoost,0.03525753353846994,True
