rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,IPI_indirect_low,IPI_commute_down
1,E01015473,E02003219,2.245159081,0.98540146,msoa_out_commute_share,0.97080292,0.97810219
2,E01033845,E02003226,2.029004771,0.920240823,msoa_wfh_share,0.89850285,0.927486813
3,E01033861,E02006849,1.350439955,0.849592413,firm_size_diversity,0.856731845,0.835313549
4,E01015569,E02003233,1.314297062,0.779476797,msoa_same_msoa_work_share,0.715701423,0.807821408
5,E01015524,E02003212,0.546259678,0.760829027,employment_quality,0.735468059,0.77350951
6,E01032703,E02006847,0.8372211,0.713410411,msoa_in_commute_share,0.741115669,0.609515691
7,E01015490,E02003234,1.280295802,0.710320209,employment_quality,0.731418829,0.639991475
8,E01015534,E02003235,0.549679297,0.677713251,modern_sector_leverage,0.722467899,0.588203953
9,E01032715,E02003230,0.7421259,0.669881187,firm_size_diversity,0.581916991,0.730779477
10,E01033850,E02003236,0.78068174,0.668336086,msoa_in_commute_share,0.736533646,0.552400234
11,E01015585,E02003236,0.369065086,0.662262241,msoa_in_commute_share,0.673983697,0.603654963
12,E01015550,E02003220,0.791036298,0.652938356,msoa_out_commute_share,0.74916085,0.515477649
13,E01015510,E02003221,0.351328416,0.62097075,msoa_wfh_share,0.592999094,0.598593425
14,E01015493,E02003228,0.396720526,0.591400714,msoa_wfh_share,0.656454792,0.467206564
15,E01015508,E02003221,0.453284441,0.570941446,employment_quality,0.54057222,0.607384517
16,E01032716,E02003223,0.688267683,0.561564282,msoa_same_msoa_work_share,0.469071341,0.627630668
17,E01015553,E02003220,0.648477271,0.550482178,employment_quality,0.609462411,0.465288508
18,E01015582,E02003223,0.22697701,0.530182748,msoa_same_msoa_work_share,0.505407853,0.52027279
19,E01015567,E02003225,0.612182351,0.520006394,sme_qual_interaction,0.617507592,0.429005275
20,E01015492,E02003234,0.537822424,0.490383078,msoa_same_msoa_work_share,0.521817891,0.490383078
21,E01015578,E02003223,0.357656155,0.477596036,msoa_out_commute_share,0.420054345,0.540891896
22,E01015542,E02003231,0.306620078,0.477436198,employment_quality,0.449997336,0.537801694
23,E01015494,E02003230,0.163295225,0.434759444,firm_size_diversity,0.409185359,0.443284139
24,E01015533,E02003235,0.722461592,0.419574831,employment_quality,0.412914913,0.426234749
25,E01015500,E02003229,0.359343959,0.418136289,employment_quality,0.255527732,0.522670361
26,E01015515,E02003215,0.204525817,0.417283819,employment_quality,0.36038148,0.502637328
27,E01015575,E02003227,0.277437983,0.404923011,firm_size_diversity,0.463530289,0.346315733
28,E01033849,E02003236,0.344467293,0.371250466,msoa_in_commute_share,0.487612553,0.25488838
29,E01015516,E02003215,0.262332608,0.366934839,firm_size_diversity,0.341094358,0.377271032
