rank,LSOA21CD,MSOA21CD,IPI,bottleneck,bottleneck_label,gva_observed_m,gva_now_model_m,gva_unrealised_m,gva_target_+30pct_m,lever_now,lever_at_+30pct,lever_change,lever_direction,reachable_within_support
1,E01033845,E02003226,0.9781,lsoa_out_commute_share,Out-commute share,20.8,49.6,28.8,27.0,0.9731,0.9731,-0.0,-1.0,True
2,E01015569,E02003233,0.9057,lsoa_home_or_no_fixed_share,Home/no-fixed share,25.9,49.6,23.7,33.7,0.3646,0.3651,0.0005,1.0,True
3,E01015507,E02003218,0.8847,employment_quality,Employment quality,7.2,8.4,1.3,9.3,0.0037,0.0139,0.0103,1.0,True
4,E01015473,E02003219,0.793,lsoa_out_commute_share,Out-commute share,496.3,648.5,152.3,645.1,0.8531,0.9458,0.0927,1.0,True
5,E01015501,E02003233,0.7638,lsoa_home_or_no_fixed_share,Home/no-fixed share,411.4,502.5,91.1,534.8,0.44,0.4866,0.0466,1.0,True
6,E01015508,E02003221,0.7475,employment_quality,Employment quality,7.6,8.6,1.0,9.9,0.0399,0.0658,0.0259,1.0,True
7,E01015510,E02003221,0.7452,lsoa_inbound_to_swindon_share,Inbound to Swindon share,38.9,43.3,4.4,50.5,0.1008,0.132,0.0312,1.0,True
8,E01015488,E02003234,0.7423,lsoa_out_commute_share,Out-commute share,58.6,104.1,45.6,76.1,0.9306,0.9407,0.0101,1.0,True
9,E01032700,E02006847,0.7385,employment_quality,Employment quality,9.3,10.8,1.5,12.1,0.0119,0.0256,0.0137,1.0,True
10,E01033861,E02006849,0.7282,firm_size_diversity,Firm-size diversity,14.1,24.7,10.6,18.3,0.8961,0.8962,0.0001,1.0,True
