LSOA21CD,MSOA21CD,Local LSOA21 Name,cluster,cluster_name,cluster_description,log_total_GVA_2023
E01015471,E02006849,Blunsdon St Andrew central,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.776580744
E01015473,E02003219,Stanton Fitzwarren,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",6.207099983
E01015475,E02003226,Bathurst Road,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.612086215
E01015477,E02003226,Albion Street,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.035241407
E01015478,E02003232,Kingshill,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,5.274070779
E01015479,E02003228,County Ground,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.859223083
E01015480,E02003226,Manchester Road,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.652044064
E01015481,E02003224,Covingham Northwest,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.824410002
E01015482,E02003224,Covingham East,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",4.366557604
E01015483,E02003224,Covingham North east,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.1102132
E01015484,E02003224,Covingham west,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",4.366557604
E01015485,E02003224,Dorcan north,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.4238288
E01015486,E02003224,Covingham central,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.567714761
E01015487,E02003234,Eldene south,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.184589535
E01015488,E02003234,Dorcan south,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.070034793
E01015489,E02003234,Liden,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.802632844
E01015490,E02003234,Liden east,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,1.812542008
E01015491,E02003234,Dorcan central,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,5.167570664
E01015492,E02003234,Eldene north,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.416379751
E01015493,E02003228,New town,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.324463727
