LSOA21CD,LSOA21NM,LSOA21NMW,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,MSOA21CD,MSOA21NM,VOA_hereditaments_2023,VOA_total_RV_2023,VOA_median_RV_2023,VOA_total_RV_million_2023,VOA_median_RV_thousand_2023,VOA_hereditaments_2026,VOA_total_RV_2026,VOA_median_RV_2026,VOA_total_RV_million_2026,VOA_median_RV_thousand_2026,VOA_total_RV_pct_change,Mid-2024 population,Apprenticeship %,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills %","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma %","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma %","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy) %",No qualifications %,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown) %",IMD_decile,Income_decile,Employment_decile,Education_decile,AdultSkills_decile,Pct_Working_Age,Working_Age_Pop,Total_Pop_Mid2024,Percentage of connections receiving less than 10Mbit/s broadband,Average download speed (Mbit/s),Percentage of homes unable to receive at least 30Mbit/s broadband,LSOA GVA Estimates (millions),LSOA11CD,part_time_employees,full_time_employees,full_to_part_ratio,total_employees,employment_rate_per_pop,LU_large_2025_msoa,LU_medium_2025_msoa,LU_micro_2025_msoa,LU_small_2025_msoa,LU_total_2025_msoa,LU_pct_micro_2025_msoa,LU_pct_small_2025_msoa,LU_pct_medium_2025_msoa,LU_pct_large_2025_msoa,LU_diversity_1-HHI_2025,pct_enterprise_0_to_49_thousand_2025_msoa,pct_enterprise_100_to_249_thousand_2025_msoa,pct_enterprise_1000_to_1999_thousand_2025_msoa,pct_enterprise_10000_to_49999_thousand_2025_msoa,pct_enterprise_2000_to_4999_thousand_2025_msoa,pct_enterprise_250_to_499_thousand_2025_msoa,pct_enterprise_50_to_99_thousand_2025_msoa,pct_enterprise_500_to_999_thousand_2025_msoa,pct_enterprise_5000_to_9999_thousand_2025_msoa,pct_enterprise_50000plus_thousand_2025_msoa,turnover_diversity_1-HHI_2025_msoa,total_enterprises_2025_msoa,share_enterprises_creative_2025_msoa,share_enterprises_foundational_2025_msoa,share_enterprises_green_aligned_2025_msoa,share_enterprises_industrial_2025_msoa,share_enterprises_kibs_2025_msoa,share_enterprises_anchor_2025_msoa,enterprises_per_1k_residents_2025,share_enterprises_public_2025_msoa,share_enterprises_private_2025_msoa,bus_stop_count,area_km2,bus_stop_density,dist_to_primary_m
E01015471,Swindon 028A,,UN1,Urban: Nearer to a major town or city,Urban,4013.589687,501399.6473083496,4013.5896871309287,E02006849,Swindon 028,4,1.3782E+11,32942543283,137820.4614,32942543.28,4,1.50367E+11,37475685783,150366.7911,37475685.78,9.103386853652644,2276,3.866432337434095,6.985940246045693,11.203866432337431,15.86115992970123,26.889279437609844,7.205623901581721,1.8892794376098416,10,9,10,9,9,0.6673989455184535,1519,2276,0,113.5262865,0,15.064,E01015471,50,30,0.6,80,0.035149385,0,10,245,35,290,0.8448275862068966,0.1206896551724138,0.034482758620689655,0,0.8961111111111111,0.14583333333333334,0.3333333333333333,0.020833333333333332,0,0.020833333333333332,0.125,0.2708333333333333,0.083333333,0,0,0.7708333333333334,240,0.16666666666666666,0.3958333333333333,0.020833333333333332,0.020833333333333332,0.4583333333333333,0.083333333,105.4481546572935,0,1,5,1.2987906316338627,3.849735190736679,617.7141308336493
E01015473,Swindon 008A,,RSN1,Smaller rural: Nearer to a major town or city,Rural,25688.03174,15243965.72254181,25688.03173816811,E02003219,Swindon 008,336,1.16204E+13,32972789283,11620414.39,32972789.28,313,1.19669E+13,38324220283,11966921.14,38324220.28,2.9818794139868965,2177,5.006890215893431,6.522737712448324,11.667432246210382,14.377583830960036,24.02388608176389,10.702802021129996,2.067064768029398,7,7,7,6,8,0.6127698667891593,1334,2177,0.01843318,47.26703755,56.2,495.26,E01015473,8000,2250,0.28125,10250,4.708314193844741,10,25,730,125,890,0.8202247191011236,0.1404494382022472,0.028089887640449437,0.011235955056179775,0.9216639313218028,0.13815789473684212,0.3026315789473684,0.059210526,0.019736842105263157,0.039473684210526314,0.13815789473684212,0.20394736842105263,0.078947368,0.019736842105263157,0,0.8165685595567866,765,0.1437908496732026,0.35294117647058826,0.052287582,0.045751634,0.40522875816993464,0.065359477,351.4010105649977,0.006535948,0.9934640522875817,37,39.476058152662794,0.9372769656208499,574.6975359805348
E01015475,Swindon 015A,,UN1,Urban: Nearer to a major town or city,Urban,2099.250451,214522.52017974854,2099.2504514109955,E02003226,Swindon 015,73,2.44033E+12,32966188283,2440330.744,32966188.28,73,2.761E+12,37496080283,2761000.083,37496080.28,13.140404833780549,2494,3.5685645549318363,17.802726543704892,10.66559743384122,6.976744186046512,15.99839615076183,16.11868484,7.698476343223737,4,5,7,2,1,0.7129109863672815,1778,2494,0,105.9700355,0,99.694,E01015475,1500,250,0.16666666666666666,1750,0.7016840417000801,5,10,350,60,425,0.8235294117647058,0.1411764705882353,0.023529411764705882,0.011764705882352941,0.9058956916099773,0.16129032258064516,0.24193548387096775,0.064516129,0,0.016129032258064516,0.16129032258064516,0.1935483870967742,0.12903225806451613,0.016129032258064516,0.016129032258064516,0.8303850156087409,310,0.048387097,0.5806451612903226,0.016129032258064516,0.016129032258064516,0.2903225806451613,0.064516129,124.29831595829992,0,1,10,0.554697635,18.02783961,350.5101129560774
E01015477,Swindon 015C,,UN1,Urban: Nearer to a major town or city,Urban,3276.800336,240520.9026412964,3276.800335717802,E02003226,Swindon 015,23,7.56827E+11,32937899283,756827.0155,32937899.28,23,8.76197E+11,38396531283,876196.7225,38396531.28,15.772389800292546,1809,5.306799336650083,10.226644555002764,11.995577667219456,9.342177998894416,19.955776672194585,16.362631288004422,3.5378662244333885,4,4,4,3,2,0.7119955776672194,1288,1809,0,109.5189655,0,19.806,E01015477,125,125,1,250,0.13819789939192925,5,10,350,60,425,0.8235294117647058,0.1411764705882353,0.023529411764705882,0.011764705882352941,0.9058956916099773,0.16129032258064516,0.24193548387096775,0.064516129,0,0.016129032258064516,0.16129032258064516,0.1935483870967742,0.12903225806451613,0.016129032258064516,0.016129032258064516,0.8303850156087409,310,0.048387097,0.5806451612903226,0.016129032258064516,0.016129032258064516,0.2903225806451613,0.064516129,171.36539524599226,0,1,5,0.6217879484510145,8.041326649150886,473.1268036429945
E01015478,Swindon 021A,,UN1,Urban: Nearer to a major town or city,Urban,4188.002606,619437.9508056641,4188.002605634165,E02003232,Swindon 021,74,2.55555E+12,32952411283,2555548.137,32952411.28,70,2.68027E+12,38003390283,2680265.652,38003390.28,4.880264749,1627,5.347264904732637,9.465273509526735,11.92378610940381,13.275968039336204,24.76951444376153,13.398893669330056,2.335586969883221,7,6,7,4,4,0.6957590657652121,1132,1627,0.00621118,124.7445313,0.6,194.209,E01015478,300,150,0.5,450,0.2765826674861709,0,10,300,25,335,0.8955223880597015,0.074626866,0.029850746268656716,0,0.9048442906574394,0.15517241379310345,0.3620689655172414,0.034482758620689655,0,0.017241379310344827,0.1206896551724138,0.2413793103448276,0.068965517,0,0,0.7657550535077289,295,0.13559322033898305,0.423728814,0.033898305,0.033898305,0.4067796610169492,0.06779661,181.31530424093424,0,1,6,1.6010075192729165,3.747640112724047,58.398218582551316
E01015479,Swindon 017A,,UN1,Urban: Nearer to a major town or city,Urban,3667.423666,897121.0455,3667.4236655542145,E02003228,Swindon 017,109,3.89505E+12,33425367283,3895045.232,33425367.28,77,2.95008E+12,38463189283,2950084.012,38463189.28,-24.26059684,2476,3.836833602584814,10.460420032310177,11.308562197092083,11.268174474959611,21.60743134087237,12.762520193861066,2.9079159935379644,6,5,6,4,3,0.6910339256865913,1711,2476,0,109.8499327,0.7,127.924,E01015479,1250,1000,0.8,2250,0.9087237479806138,0,15,200,35,250,0.8,0.14,0.06,0,0.9119999999999999,0.18604651162790697,0.2558139534883721,0.069767442,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.18604651162790697,0.093023256,0.023255813953488372,0,0.8350459707950243,205,0.097560976,0.5121951219512195,0.048780488,0.048780488,0.36585365853658536,0.024390243902439025,82.79483037156704,0.023809523809523808,0.9761904761904762,9,2.3200272158104496,3.8792648373549583,43.54926756099662
E01015480,Swindon 015D,,UN1,Urban: Nearer to a major town or city,Urban,1448.819215,115651.39429473877,1448.819214998464,E02003226,Swindon 015,61,2.04592E+12,32938012283,2045923.062,32938012.28,59,2.26526E+12,38396903283,2265259.342,38396903.28,10.720651400972688,2997,3.903903903903904,17.684351017684353,10.71071071071071,6.506506506506507,14.714714714714711,19.853186519853185,10.844177510844178,4,4,9,2,1,0.7537537537537538,2259,2997,0,104.7119645,0,13.183,E01015480,125,100,0.8,225,0.075075075,5,10,350,60,425,0.8235294117647058,0.1411764705882353,0.023529411764705882,0.011764705882352941,0.9058956916099773,0.16129032258064516,0.24193548387096775,0.064516129,0,0.016129032258064516,0.16129032258064516,0.1935483870967742,0.12903225806451613,0.016129032258064516,0.016129032258064516,0.8303850156087409,310,0.048387097,0.5806451612903226,0.016129032258064516,0.016129032258064516,0.2903225806451613,0.064516129,103.43677010343677,0,1,3,0.29907703373855016,10.030860486006315,317.00429028835686
E01015481,Swindon 013A,,UN1,Urban: Nearer to a major town or city,Urban,2375.225372,322482.4412994385,2375.2253717333147,E02003224,Swindon 013,17,5.55046E+11,32931327283,555045.9138,32931327.28,17,6.41397E+11,37677060283,641396.7218,37677060.28,15.557417116560112,1746,5.097365406643757,10.595647193585338,16.151202749140893,15.40664375715922,20.4467354,13.344788087056129,1.431844215,8,7,8,5,5,0.6506300114547537,1136,1746,0,91.66833856,0,15.851,E01015481,200,100,0.5,300,0.1718213058419244,0,0,155,15,170,0.9117647058823529,0.088235294,0,0,0.8494809688581314,0.12903225806451613,0.3225806451612903,0.032258065,0,0,0.16129032258064516,0.3225806451612903,0.032258065,0,0,0.7471383975026015,150,0.1,0.5666666666666667,0.033333333,0.033333333,0.26666666666666666,0.1,85.91065292096219,0,1,7,0.8340493932340661,8.392788313000466,636.0191069433178
E01015482,Swindon 013B,,UN1,Urban: Nearer to a major town or city,Urban,4175.586229,333384.0287628174,4175.586229393644,E02003224,Swindon 013,2,65965139566,32982569783,65965.13957,32982569.78,2,77773910566,38886955283,77773.91057,38886955.28,17.90153265450911,1271,6.451612903225806,12.667191188040912,13.217938630999212,15.420928402832416,18.17466561762392,15.263571990558615,1.9669551534225016,9,10,8,5,4,0.6199842643587726,788,1271,0,124.5655093,0,77.772,E01015482,400,20,0.05,420,0.3304484657749803,0,0,155,15,170,0.9117647058823529,0.088235294,0,0,0.8494809688581314,0.12903225806451613,0.3225806451612903,0.032258065,0,0,0.16129032258064516,0.3225806451612903,0.032258065,0,0,0.7471383975026015,150,0.1,0.5666666666666667,0.033333333,0.033333333,0.26666666666666666,0.1,118.01730920535012,0,1,7,0.8620795244996561,8.119900544051017,457.72282177183774
E01015483,Swindon 013C,,UN1,Urban: Nearer to a major town or city,Urban,2801.81271,290955.42681121826,2801.81271,E02003224,Swindon 013,5,1.5995E+11,31651492283,159950.4384,31651492.28,5,1.87917E+11,37527026283,187916.7504,37527026.28,17.484360954009954,1367,8.632040965618142,12.070226773957572,12.070226773957572,13.89904901243599,17.702999268471103,18.361375274323336,3.584491587417703,9,9,9,6,4,0.5727871250914411,783,1367,0,117.3211382,0,7.25,E01015483,50,25,0.5,75,0.054864667,0,0,155,15,170,0.9117647058823529,0.088235294,0,0,0.8494809688581314,0.12903225806451613,0.3225806451612903,0.032258065,0,0,0.16129032258064516,0.3225806451612903,0.032258065,0,0,0.7471383975026015,150,0.1,0.5666666666666667,0.033333333,0.033333333,0.26666666666666666,0.1,109.7293343087052,0,1,8,0.7524906227054794,10.631361718817265,382.94573612391787
