rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,bottleneck_label,IPI_indirect_low,IPI_commute_down,IPI_uniform_lever
1,E01033845,E02003226,2.42138786962693,0.9781021897810219,lsoa_out_commute_share,Out-commute share,0.9781021897810219,0.9635036496350365,0.9635036496350365
2,E01015569,E02003233,1.3886741217516447,0.9057488411742768,lsoa_home_or_no_fixed_share,Home/no-fixed share,0.9057488411742768,0.9274868133624593,0.9274868133624593
3,E01015507,E02003218,1.3541767569081962,0.8847035004528745,employment_quality,Employment quality,0.9062816346102616,0.8847035004528745,0.8847035004528745
4,E01015473,E02003219,0.6643099101040173,0.7929564707762801,lsoa_out_commute_share,Out-commute share,0.7864031115136662,0.8126165485641217,0.8126165485641217
5,E01015501,E02003233,0.4318122752053321,0.7638126698279077,lsoa_home_or_no_fixed_share,Home/no-fixed share,0.7339762374127551,0.7757472427939688,0.7757472427939688
6,E01015508,E02003221,0.6634287228805311,0.7475091906867707,employment_quality,Employment quality,0.7280089509297246,0.7540092706057862,0.7540092706057862
7,E01015510,E02003221,0.4273896645727992,0.7451648995684373,lsoa_inbound_to_swindon_share,Inbound to Swindon share,0.7510789067078694,0.7215088710107092,0.7215088710107092
8,E01015488,E02003234,1.0183236092476786,0.742287815014119,lsoa_out_commute_share,Out-commute share,0.7560338856625286,0.6254462145026373,0.6254462145026373
9,E01032700,E02006847,0.6967155402826894,0.738451702275028,employment_quality,Employment quality,0.6847461239277531,0.7720176887420747,0.7720176887420747
10,E01033861,E02006849,1.277836491015936,0.7282220683041185,firm_size_diversity,Firm-size diversity,0.6925249080931324,0.771058660557302,0.771058660557302
11,E01015523,E02003212,0.6030562690172729,0.7027012627204433,lsoa_local_worker_share,Local worker share,0.728488465022111,0.5608716500612713,0.5608716500612713
12,E01015584,E02003236,1.115031467801434,0.7015291171612766,sme_qual_interaction,SME x qualification,0.6448398955724866,0.7865629495444616,0.7865629495444616
13,E01015513,E02003215,0.7531409666219679,0.6887953540412382,firm_size_diversity,Firm-size diversity,0.6819755980606319,0.6887953540412382,0.6887953540412382
14,E01015567,E02003225,0.4150502401310603,0.6857051521125259,lsoa_outbound_from_swindon_share,Outbound from Swindon share,0.6974266077041932,0.6857051521125259,0.6857051521125259
15,E01033850,E02003236,1.0279401648532032,0.6718525227769194,firm_size_diversity,Firm-size diversity,0.6510735787735096,0.7134104107837391,0.7134104107837391
16,E01015547,E02003219,0.2626734196480988,0.6610900953700252,lsoa_out_commute_share,Out-commute share,0.6560818370717674,0.6560818370717674,0.6560818370717674
17,E01032703,E02006847,0.6775869871819871,0.6326922052320316,firm_size_diversity,Firm-size diversity,0.6726517129308967,0.5194736000852469,0.5194736000852469
18,E01015519,E02003212,0.5952024505420836,0.588203953327295,lsoa_local_worker_share,Local worker share,0.6585326868772977,0.4603335286909266,0.4603335286909266
19,E01032708,E02003223,0.6766214479265624,0.568170920134264,lsoa_outbound_from_swindon_share,Outbound from Swindon share,0.5615642815280516,0.568170920134264,0.568170920134264
20,E01032714,E02003230,0.2678433336858283,0.5668922158879003,firm_size_diversity,Firm-size diversity,0.5466460653204753,0.5668922158879003,0.5668922158879003
21,E01015502,E02003233,0.2406683558595075,0.5658266290159305,employment_quality,Employment quality,0.5658266290159305,0.5706217699397943,0.5706217699397943
22,E01015524,E02003212,0.3552830581608124,0.559433107784112,employment_quality,Employment quality,0.5929990942511588,0.5370557834727476,0.5370557834727476
23,E01015494,E02003230,0.5648192917701333,0.5423304384889978,firm_size_diversity,Firm-size diversity,0.498694656081837,0.6109009537002504,0.6109009537002504
