rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,bottleneck_label,IPI_indirect_low,IPI_commute_down,IPI_uniform_lever
1,E01015569,E02003233,1.642362934007504,0.9274868133624593,lsoa_local_worker_share,Local worker share,0.9419787948212478,0.9347328040918536,0.9347328040918536
2,E01033850,E02003236,1.3379227030764698,0.8631253662954873,firm_size_diversity,Firm-size diversity,0.8631253662954873,0.8631253662954873,0.8631253662954873
3,E01033845,E02003226,1.994269568235329,0.8394160583941606,firm_size_diversity,Firm-size diversity,0.8540145985401459,0.8394160583941606,0.8394160583941606
4,E01032715,E02003230,0.7420910905701597,0.8324364643827588,firm_size_diversity,Firm-size diversity,0.7921572806223027,0.8391496616761681,0.8391496616761681
5,E01015510,E02003221,0.735123677176559,0.7858703180776813,lsoa_local_worker_share,Local worker share,0.7592306462784378,0.8058500719271139,0.8058500719271139
6,E01015520,E02003212,0.8523265806871123,0.782673557461772,lsoa_local_worker_share,Local worker share,0.7965261867973786,0.7688209281261654,0.7688209281261654
7,E01015587,E02003236,0.701933913164313,0.7798497522510524,firm_size_diversity,Firm-size diversity,0.7798497522510524,0.7732963929884383,0.7732963929884383
8,E01015502,E02003233,0.6364515418183698,0.7480419841227556,employment_quality,Employment quality,0.7160743779636635,0.7864031115136662,0.7864031115136662
9,E01015507,E02003218,1.1724972696798026,0.6925249080931324,employment_quality,Employment quality,0.656827747882146,0.7282220683041185,0.7282220683041185
10,E01015499,E02003229,0.4824816942962036,0.6863445042357078,firm_size_diversity,Firm-size diversity,0.6983856358889658,0.6863445042357078,0.6863445042357078
11,E01015532,E02003232,0.4686562641721221,0.6623687996163887,firm_size_diversity,Firm-size diversity,0.6327987639192285,0.6860248281741169,0.6860248281741169
12,E01015588,E02003236,0.5318669188510059,0.6556023229793809,firm_size_diversity,Firm-size diversity,0.661729447493207,0.6739836965208589,0.6739836965208589
13,E01015585,E02003236,0.3273551856765042,0.6175075923064628,firm_size_diversity,Firm-size diversity,0.6175075923064628,0.6023229793808941,0.6023229793808941
14,E01015584,E02003236,0.9636690486730162,0.6118599818850232,firm_size_diversity,Firm-size diversity,0.5837284884650221,0.6118599818850232,0.6118599818850232
15,E01015508,E02003221,0.7215537419540174,0.568170920134264,employment_quality,Employment quality,0.5021045340721402,0.6870904150460866,0.6870904150460866
16,E01015488,E02003234,0.7543727845101298,0.56161756087165,sme_density,SME density,0.5819169907826736,0.521018701049603,0.521018701049603
17,E01015523,E02003212,0.9510522654924928,0.5513879269007406,lsoa_inbound_to_swindon_share,Inbound to Swindon share,0.6491022430603655,0.4466940167297139,0.4466940167297139
18,E01015542,E02003231,0.4028911162799811,0.5208588630188076,employment_quality,Employment quality,0.5263999147530503,0.5097767595503223,0.5097767595503223
19,E01015566,E02003222,0.4041700731174837,0.5026373275081252,firm_size_diversity,Firm-size diversity,0.5308753796153232,0.4574564441366083,0.4574564441366083
20,E01015567,E02003225,0.3106660562473933,0.4999733603282007,lsoa_local_worker_share,Local worker share,0.48036656188395754,0.5195801587724439,0.5195801587724439
21,E01015533,E02003235,0.6196361885424042,0.4945388672811551,firm_size_diversity,Firm-size diversity,0.4945388672811551,0.5706217699397943,0.5706217699397943
22,E01015571,E02003233,0.2735363407224942,0.4923011348500186,employment_quality,Employment quality,0.40790665459001546,0.5298097927433534,0.5298097927433534
23,E01015494,E02003230,0.7547597443458169,0.47738291864244237,firm_size_diversity,Firm-size diversity,0.4023656028557728,0.5864990143321435,0.5864990143321435
24,E01015519,E02003212,0.5495660350605163,0.47589109702168464,lsoa_local_worker_share,Local worker share,0.5067931163088071,0.389365443017742,0.389365443017742
25,E01032707,E02003232,0.1425594746817755,0.4652885076455858,firm_size_diversity,Firm-size diversity,0.45772284085460074,0.46150567425009326,0.46150567425009326
26,E01032700,E02006847,0.6626247829126943,0.4420054344930471,employment_quality,Employment quality,0.42900527465501626,0.46800575416910867,0.46800575416910867
27,E01033860,E02006849,0.4468170894656431,0.43731685225638023,firm_size_diversity,Firm-size diversity,0.43156268314774365,0.43731685225638023,0.43731685225638023
28,E01032713,E02006847,0.3128169877638966,0.4360381480100165,firm_size_diversity,Firm-size diversity,0.4360381480100165,0.44099312696467574,0.44099312696467574
29,E01015561,E02003225,0.0445831959163962,0.4262880281314934,lsoa_local_worker_share,Local worker share,0.4262880281314934,0.4262880281314934,0.4262880281314934
30,E01015513,E02003215,0.6563778326192824,0.42548883797751613,employment_quality,Employment quality,0.4190420374020992,0.43193563855293304,0.43193563855293304
31,E01015546,E02003214,0.2321540385354961,0.420107624274069,employment_quality,Employment quality,0.4289519953114178,0.4156854387553946,0.4156854387553946
32,E01032708,E02003223,0.4504385103044921,0.4123288401086899,lsoa_local_worker_share,Local worker share,0.4123288401086899,0.4297511854653951,0.4297511854653951
33,E01015550,E02003220,0.3680135511489042,0.4075869785284245,sme_density,SME density,0.45649741595183546,0.26629015930523736,0.26629015930523736
34,E01015539,E02003231,0.2192096607739033,0.3927220416644467,employment_quality,Employment quality,0.3884064148329693,0.3797751611700144,0.3797751611700144
35,E01015522,E02003212,0.3574805552570459,0.3889392082689541,employment_quality,Employment quality,0.4262347487878949,0.31434812723107247,0.31434812723107247
36,E01033861,E02006849,1.108965803531195,0.37556609302573396,firm_size_diversity,Firm-size diversity,0.26927380254675265,0.48185838350471527,0.48185838350471527
37,E01015524,E02003212,0.7768059139194794,0.3711439075070595,employment_quality,Employment quality,0.3642708721828547,0.3505248015344451,0.3505248015344451
38,E01032703,E02006847,0.5860745455468552,0.36155362565933186,firm_size_diversity,Firm-size diversity,0.31168416005114813,0.36155362565933186,0.36155362565933186
39,E01032705,E02006847,0.1637838687493338,0.35963556928978635,employment_quality,Employment quality,0.36363152005967286,0.32766796313069424,0.32766796313069424
40,E01015500,E02003229,0.4384855755191981,0.35915605519739996,employment_quality,Employment quality,0.3306516063722095,0.3933613937876286,0.3933613937876286
41,E01015511,E02003221,0.218997044619317,0.35803718898183173,employment_quality,Employment quality,0.3282007565666791,0.4304970962757738,0.4304970962757738
42,E01015563,E02003222,0.1368653934329784,0.33821727316319466,firm_size_diversity,Firm-size diversity,0.35292237199637705,0.36027492141296824,0.36027492141296824
43,E01015477,E02003226,0.4822058265513691,0.33416804304970965,lsoa_local_worker_share,Local worker share,0.41174276732910653,0.23272417283819063,0.23272417283819063
44,E01015579,E02003223,0.0285024057582807,0.33363524961372476,lsoa_inbound_to_swindon_share,Inbound to Swindon share,0.3303319303106186,0.3303319303106186,0.3303319303106186
45,E01015505,E02003229,0.3161261277737779,0.320528531088497,employment_quality,Employment quality,0.28547072300069265,0.35057808087804365,0.35057808087804365
46,E01015516,E02003215,0.1620296735740338,0.31541371410304225,firm_size_diversity,Firm-size diversity,0.2917576855453141,0.32724172838190635,0.32724172838190635
47,E01015557,E02003216,0.1314753572141178,0.2934626245404657,firm_size_diversity,Firm-size diversity,0.2934626245404657,0.28621663381107143,0.28621663381107143
48,E01032706,E02003232,0.1605319630054911,0.28387234269273803,employment_quality,Employment quality,0.25701955351910066,0.3222334700836486,0.3222334700836486
49,E01015574,E02003228,0.3732846625965811,0.2469497575789866,sme_density,SME density,0.34572966061058125,0.1536576269380361,0.1536576269380361
50,E01015515,E02003215,0.4599293359241165,0.2402898396291758,employment_quality,Employment quality,0.19926474505834088,0.32820075656667913,0.32820075656667913
51,E01015528,E02003217,0.1844016209574821,0.21887154350258403,employment_quality,Employment quality,0.20624433906974265,0.23149874793542544,0.23149874793542544
52,E01015545,E02003214,0.2517757772621016,0.21737972188182644,employment_quality,Employment quality,0.20832223347008363,0.23549469870531195,0.23549469870531195
53,E01015479,E02003228,0.026881023443682,0.21125259736800042,sme_density,SME density,0.22750279716553895,0.21125259736800042,0.21125259736800042
54,E01015565,E02003222,0.1721733399730851,0.20922798231125792,firm_size_diversity,Firm-size diversity,0.2215355106825084,0.17230539719750654,0.17230539719750654
55,E01015544,E02003214,0.1799031701683726,0.20778944003409877,employment_quality,Employment quality,0.1828547072300069,0.2368799616388726,0.2368799616388726
56,E01015498,E02003232,0.0472787487048727,0.20746976397250785,employment_quality,Employment quality,0.18285470723000694,0.21801907400500828,0.21801907400500828
57,E01015525,E02006847,0.1394374189627063,0.20512547285417446,employment_quality,Employment quality,0.14918216207576324,0.24615056742500935,0.24615056742500935
58,E01015490,E02003234,0.6031362542999872,0.18232191379402204,employment_quality,Employment quality,0.2011828014278864,0.1383131759816719,0.1383131759816719
59,E01015497,E02003230,0.2418170255949303,0.17901859449091587,firm_size_diversity,Firm-size diversity,0.1611167350418243,0.22377324311364485,0.22377324311364485
60,E01015489,E02003234,0.3629910596863781,0.17758005221375672,lsoa_local_worker_share,Local worker share,0.1991049070275454,0.13453034258617932,0.13453034258617932
61,E01032709,E02006847,0.0920364114652367,0.16777665299163516,employment_quality,Employment quality,0.13921892482284617,0.1927646651393255,0.1927646651393255
62,E01015558,E02003216,0.3413584634939162,0.1635143055037562,firm_size_diversity,Firm-size diversity,0.158239650487506,0.158239650487506,0.158239650487506
63,E01015483,E02003224,0.2866667110761405,0.16122329372902125,employment_quality,Employment quality,0.14699770898822526,0.17070701688955192,0.17070701688955192
64,E01032711,E02006848,0.0066378428387272,0.1383131759816719,employment_quality,Employment quality,0.13202621343705045,0.1477436197986041,0.1477436197986041
65,E01015487,E02003234,0.339146703723276,0.13575576748894452,employment_quality,Employment quality,0.14619851883424798,0.12531301614364113,0.12531301614364113
66,E01033849,E02003236,0.3354479182253955,0.12403431189727744,firm_size_diversity,Firm-size diversity,0.0981938302520113,0.1963876605040226,0.1963876605040226
67,E01015586,E02003236,0.2527974089105957,0.12371463583568651,firm_size_diversity,Firm-size diversity,0.11913261228621663,0.142042730033566,0.142042730033566
68,E01015559,E02003216,0.1614760369812868,0.11668176248068625,firm_size_diversity,Firm-size diversity,0.1127923703979967,0.1127923703979967,0.1127923703979967
69,E01015485,E02003224,0.0046182078535248,0.1123661356492088,employment_quality,Employment quality,0.10629229047898131,0.12147690340455004,0.12147690340455004
70,E01032701,E02006848,0.0449703051495182,0.1091160956897011,firm_size_diversity,Firm-size diversity,0.11252597368000426,0.0920667057381853,0.0920667057381853
71,E01015514,E02003215,0.4843656169564161,0.09718152272364004,firm_size_diversity,Firm-size diversity,0.12147690340455004,0.06681229687250252,0.06681229687250252
72,E01032712,E02006848,0.2237608528022101,0.0917470296765944,firm_size_diversity,Firm-size diversity,0.061164686451062926,0.16164952847780917,0.16164952847780917
