LSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,lsoa_total_employed,lsoa_home_or_no_fixed_count,lsoa_home_or_no_fixed_share,lsoa_workplace_commuters,lsoa_same_lsoa_worker_count,lsoa_same_lsoa_work_share,lsoa_out_commute_share,lsoa_workers_at_workplace,lsoa_inbound_worker_count,lsoa_local_worker_share,lsoa_in_commute_share,lsoa_outbound_from_swindon_count,lsoa_outbound_from_swindon_share,lsoa_inbound_to_swindon_count,lsoa_inbound_to_swindon_share
E01015471,-0.04380465,-0.047569435,-0.023061467,0.0007946165,-0.09102171,0.0031871025,-0.014848928,-0.122719765,0.0041191173,-0.0025028016,0.023048393,0.04391157,-0.0036798636,0.015843436,-0.004887131,-0.03249382,-0.0020605219,-0.19163527,-0.08164976,0.049916774,0.0090077985,-0.001477004,0.007096171,-0.34646976,0.0148681095
E01015473,0.1809199,0.1548395,0.10911383,-0.011235179,0.5361589,0.0062190136,0.04811603,0.09635781,-0.00013950636,0.01106847,0.0060122153,0.012096526,0.040864874,-0.018998347,0.0343926,0.16116394,0.0075578494,0.45231393,0.12742649,0.13175924,0.025679968,0.004341673,0.014305071,0.6478897,0.0074287965
E01015475,0.16676652,-0.00964807,-0.035252295,0.0015672903,-0.05849588,0.007135167,-0.017129885,0.08412451,-0.0024651834,-0.018439604,0.01435076,-0.007823058,-0.013756656,0.0119130565,-0.0018623432,-0.02778918,-0.0008692646,0.061909243,0.03442726,-0.04202918,-0.0059393584,-0.0073695756,0.0003671376,0.152818,0.006853904
E01015477,-0.04423977,-0.03298315,-0.024029883,-0.00597308,-0.032861307,-0.012946209,-0.01902782,0.078345664,-0.002620373,-0.018684575,0.0046644737,-0.029406805,-0.019939406,0.005236655,-0.0077330023,-0.03740707,-0.0020605219,0.09470939,0.038734086,-0.069623575,-0.020967685,0.0002947483,-0.0049516535,0.19817543,0.010821835
E01015478,0.1789418,0.1395102,-0.016625466,-0.0002577873,-0.17774618,-0.012026468,-0.0072319736,0.07771854,0.002268137,0.010292946,0.0064434055,0.023952372,0.0028474657,-0.009414973,-0.0019522872,-0.027016547,-0.0020605219,0.13985895,0.053737525,0.12479224,0.022252051,0.002663959,0.0015169322,0.31421384,0.016846133
E01015479,0.1342696,0.119954474,-0.057413377,-0.013444121,0.053807326,0.0051505156,-0.011625567,0.080594465,0.002268137,0.023246834,-0.003504309,0.003436349,-0.040987857,0.001938717,0.024562031,0.08480209,0.004525654,0.40445688,0.13310118,0.0071658003,0.0049776398,-0.005680021,-0.002049431,0.56559783,0.014189257
E01015480,0.12775974,-0.03373776,-0.027214427,-0.00041333132,-0.070950106,-0.013897065,-0.018741144,-0.005708936,-0.00024776137,-0.0040869317,0.017315527,-0.017969506,-0.00769558,0.02352714,-0.0036335988,-0.031322945,-0.0008692646,-0.14273553,-0.011269441,-0.046303477,-0.008505798,-0.0015269499,0.0028542792,-0.30239376,0.0037697263
E01015481,-0.046593685,-0.034835763,-0.025130644,-0.00597308,-0.07472632,0.0027070076,-0.015219462,0.06418205,-0.0028014244,-0.011223224,0.0029053597,0.009605591,-0.009541899,0.015092822,-0.004110102,-0.034427,-0.0008692646,-0.14223734,-0.009133436,-0.04751899,-0.008505798,0.0002947483,-0.001509849,-0.28703734,0.0031967831
E01015482,-0.055874582,-0.042998243,-0.04131912,-0.00029456033,-0.122850426,0.036116052,-0.014909583,-0.09226006,-0.0028922968,-0.020069499,-0.007170363,-0.023669658,0.0039786105,0.020844538,-0.001777668,-0.033686716,-0.0026523762,0.3699941,0.06778396,0.009138318,0.0049776398,0.011845097,-0.0013876681,0.38348785,-0.007311877
E01015483,-0.0631244,-0.04854733,-0.019861517,-0.00063106406,-0.06721047,-0.01235085,-0.015716204,-0.12198185,-0.00051968545,-0.007892497,-0.0221149,-0.019128457,-0.004177534,0.022980092,-0.004257557,-0.03355404,-0.0008692646,-0.19323285,-0.09103649,0.051061798,0.0090077985,-0.011411031,-0.0012416213,-0.34647423,0.0038577528
E01015484,-0.051947605,-0.037358906,-0.023616722,0.0033647157,-0.0721264,-0.013136964,-0.017166816,0.048259612,-0.00024776137,0.018000768,0.000728448,-0.018581962,-0.00042053917,0.0074026724,-0.002296322,-0.03046066,-0.0020605219,-0.14434513,-0.014249185,0.08635054,0.012391343,-0.011325871,-0.001509849,-0.18665378,0.016675325
E01015485,-0.048384167,-0.03932309,-0.022978745,-0.0048042834,-0.06713309,-0.011692278,-0.01553096,-0.13740735,-0.0010944603,-0.0020423145,0.00627905,0.007837224,-0.0013992926,-0.012814166,-0.004257557,-0.03355088,-0.0008692646,-0.19867235,-0.08659069,0.052804828,0.0090077985,-0.0009806082,-0.0012416213,-0.35606125,0.0038577528
E01015486,-0.05309517,-0.04236366,-0.022013417,-0.0017146941,-0.0690515,0.0053200107,-0.015219462,0.04420962,-0.00024776137,0.000769407,-0.006426292,-0.019390168,-0.007247851,-0.009600669,-0.00545381,-0.031910136,-0.0008692646,-0.1417111,-0.047459364,-0.045029137,-0.0076670167,-0.0011454837,-0.0016953745,-0.3037381,0.0031967831
E01015487,-0.06542783,-0.055410404,-0.025515364,-0.005758876,-0.023687435,0.004887012,-0.01673364,-0.13293295,-0.00051968545,-0.0020270336,0.00047111424,-0.018038098,-0.016417975,-0.011296654,-0.005544846,-0.035229158,-0.0008692646,-0.20601887,-0.09099725,0.046986774,0.0090077985,-0.0007317114,0.0013691166,-0.3663234,0.0036539515
E01015488,-0.0465034,-0.03338485,-0.047352534,0.024396893,-0.047075227,0.031110875,-0.012338862,0.10035176,-0.002620373,0.017378427,-0.009676202,-0.027983945,-0.019789929,-0.003918815,0.026131002,0.1150767,0.0038252433,0.41721043,0.16372643,-0.03360579,-0.008877574,-0.0038470195,-0.0044590277,0.43112758,0.0004614268
E01015489,-0.05403124,-0.037004396,-0.039614845,-0.00597308,-0.0031871593,0.008722019,-0.016039005,0.12827735,0.0006462232,0.011187376,-0.0049499674,-0.027882703,-0.006573175,-0.0057180733,-0.0073347134,-0.03178609,-0.0020605219,-0.08874861,0.04469867,-0.057254277,-0.013162995,-0.0011454837,-0.001509849,-0.08245166,0.0069867154
E01015490,-0.05251044,-0.04165841,-0.022895869,-0.0052708806,-0.033127833,-0.013562297,-0.016548397,-0.11903146,-0.0010944603,0.00024981837,-0.013511739,-0.023558337,-0.010806672,0.0016168247,-0.004734128,-0.031122759,-0.0020605219,-0.21008366,-0.09476842,0.04995898,0.0090077985,-0.0016101217,0.0013691166,-0.36294168,0.0148681095
E01015491,0.17118049,0.113025084,-0.046777297,0.032104257,-0.068681546,0.011923081,-0.010120507,0.092838004,-0.0009984589,0.030607414,-0.0033445281,-0.025584325,-0.022548534,-0.0048683467,0.024158154,0.12955183,0.0075578494,0.3989012,0.14949273,-0.010951901,0.0049776398,-0.0075268997,-0.00037146633,0.6091856,0.023932323
E01015492,0.1627296,0.13293266,-0.05027199,0.00554387,-0.061925028,-0.017324647,-0.014277297,0.07906258,-0.0009984589,0.0046798466,0.0047127637,-0.034208573,-0.042977393,-0.0106745,-0.0026624138,-0.040487632,-0.0020605219,0.32556733,0.056714054,0.13048276,0.025679968,0.0019191068,-0.0025420568,0.36857814,0.01875291
