LSOA21CD,MSOA21CD,cluster,cluster_name,cluster_description,log_total_GVA_2023
E01015471,E02006849,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.776580744
E01015473,E02003219,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",6.207099983
E01015475,E02003226,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.612086215
E01015477,E02003226,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.035241407
E01015478,E02003232,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,5.274070779
E01015479,E02003228,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.859223083
E01015480,E02003226,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.652044064
E01015481,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.824410002
E01015482,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",4.366557604
E01015483,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.1102132
E01015484,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",4.366557604
E01015485,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.4238288
E01015486,E02003224,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.567714761
E01015487,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.184589535
E01015488,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.070034793
E01015489,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.802632844
E01015490,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,1.812542008
E01015491,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,5.167570664
E01015492,E02003234,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.416379751
E01015493,E02003228,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.324463727
E01015494,E02003230,3,High-RV compact workplace,Small n=5 group with extreme RV per working-age; high GVA workplace cores,3.846267744
E01015496,E02003230,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",3.098063205
E01015497,E02003230,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",2.539236994
E01015498,E02003232,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.29797448
E01015499,E02003229,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.018667245
E01015500,E02003229,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.027621793
E01015501,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,6.019570839
E01015502,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.009019077
