LSOA21CD,LSOA21NM,MSOA21CD,label,cluster_name
E01015471,Swindon 028A,E02006849,1,Skilled residential
E01015498,Swindon 021B,E02003232,1,Skilled residential
E01015499,Swindon 018A,E02003229,1,Skilled residential
E01015504,Swindon 018C,E02003229,1,Skilled residential
E01015505,Swindon 018D,E02003229,1,Skilled residential
E01015512,Swindon 028C,E02006849,1,Skilled residential
E01015513,Swindon 004A,E02003215,1,Skilled residential
E01015515,Swindon 004C,E02003215,1,Skilled residential
E01015518,Swindon 028D,E02006849,1,Skilled residential
E01015522,Swindon 001D,E02003212,1,Skilled residential
E01015525,Swindon 026A,E02006847,1,Skilled residential
E01015526,Swindon 006A,E02003217,1,Skilled residential
E01015562,Swindon 011A,E02003222,1,Skilled residential
E01015563,Swindon 011B,E02003222,1,Skilled residential
E01015565,Swindon 011C,E02003222,1,Skilled residential
E01015566,Swindon 011D,E02003222,1,Skilled residential
E01015584,Swindon 025B,E02003236,1,Skilled residential
E01015586,Swindon 025D,E02003236,1,Skilled residential
E01032700,Swindon 026B,E02006847,1,Skilled residential
E01032701,Swindon 027A,E02006848,1,Skilled residential
E01032702,Swindon 027B,E02006848,1,Skilled residential
E01032703,Swindon 026C,E02006847,1,Skilled residential
E01032704,Swindon 027C,E02006848,1,Skilled residential
E01032705,Swindon 026D,E02006847,1,Skilled residential
E01032706,Swindon 021E,E02003232,1,Skilled residential
E01032707,Swindon 021F,E02003232,1,Skilled residential
E01032709,Swindon 026E,E02006847,1,Skilled residential
E01032711,Swindon 027D,E02006848,1,Skilled residential
E01032712,Swindon 027E,E02006848,1,Skilled residential
E01032713,Swindon 026F,E02006847,1,Skilled residential
E01015481,Swindon 013A,E02003224,2,Lower-asset residential
E01015482,Swindon 013B,E02003224,2,Lower-asset residential
E01015483,Swindon 013C,E02003224,2,Lower-asset residential
E01015484,Swindon 013D,E02003224,2,Lower-asset residential
E01015485,Swindon 013E,E02003224,2,Lower-asset residential
E01015486,Swindon 013F,E02003224,2,Lower-asset residential
E01015500,Swindon 018B,E02003229,2,Lower-asset residential
E01015506,Swindon 007A,E02003218,2,Lower-asset residential
E01015507,Swindon 007B,E02003218,2,Lower-asset residential
E01015514,Swindon 004B,E02003215,2,Lower-asset residential
E01015516,Swindon 004D,E02003215,2,Lower-asset residential
E01015517,Swindon 004E,E02003215,2,Lower-asset residential
E01015524,Swindon 001F,E02003212,2,Lower-asset residential
E01015527,Swindon 007C,E02003218,2,Lower-asset residential
E01015528,Swindon 006B,E02003217,2,Lower-asset residential
E01015529,Swindon 006C,E02003217,2,Lower-asset residential
E01015530,Swindon 006D,E02003217,2,Lower-asset residential
E01015537,Swindon 020A,E02003231,2,Lower-asset residential
E01015538,Swindon 016A,E02003231,2,Lower-asset residential
E01015539,Swindon 020B,E02003231,2,Lower-asset residential
E01015540,Swindon 020C,E02003231,2,Lower-asset residential
E01015541,Swindon 020D,E02003231,2,Lower-asset residential
E01015542,Swindon 020E,E02003231,2,Lower-asset residential
E01015543,Swindon 003A,E02003214,2,Lower-asset residential
E01015544,Swindon 003B,E02003214,2,Lower-asset residential
E01015545,Swindon 003C,E02003214,2,Lower-asset residential
E01015546,Swindon 003D,E02003214,2,Lower-asset residential
E01015555,Swindon 005A,E02003216,2,Lower-asset residential
E01015558,Swindon 005D,E02003216,2,Lower-asset residential
