MSOA21CD,msoa_out_commute_share,msoa_same_msoa_work_share,msoa_wfh_share,msoa_workplace_commuters,msoa_total_employed,msoa_in_commute_share,msoa_local_worker_share,msoa_workers_at_workplace,msoa_inbound_worker_count
E02003212,0.8516036381043561,0.14839636189564384,0.26584432156529136,2089,7053,0.7842727905358385,0.21572720946416143,1437,1127
E02003214,0.9647058823529412,0.03529411764705882,0.17761313576291549,1700,4994,0.7752808988764045,0.2247191011235955,267,207
E02003215,0.9614277489925158,0.03857225100748417,0.25401762571280456,1737,5787,0.8883333333333333,0.11166666666666666,600,533
E02003216,0.9485241180705544,0.05147588192944565,0.2529055690072639,2778,8260,0.8557013118062563,0.1442986881937437,991,848
E02003217,0.9752475247524752,0.024752475247524754,0.23490858916867885,2020,5798,0.8947368421052632,0.10526315789473684,475,425
E02003218,0.96973293768546,0.030267062314540058,0.2209145282654833,1685,5183,0.8988095238095238,0.10119047619047619,504,453
E02003219,0.826044703595724,0.17395529640427598,0.38449208575435784,3087,9982,0.955976389572061,0.04402361042793901,12198,11661
E02003220,0.8531228551818806,0.14687714481811942,0.26280572219658516,2914,8668,0.9458775923115832,0.05412240768841679,7908,7480
E02003221,0.9325931800158604,0.06740681998413957,0.2027485578554462,2522,5894,0.9436526350679483,0.056347364932051704,3017,2847
E02003222,0.9754601226993865,0.024539877300613498,0.3473337451101503,1630,4857,0.884393063583815,0.11560693641618497,346,306
E02003223,0.8486330935251799,0.15136690647482015,0.29492143019813255,3475,8782,0.912856196156395,0.08714380384360504,6036,5510
E02003224,0.9615384615384616,0.038461538461538464,0.2600773053561568,2366,7244,0.8907563025210085,0.1092436974789916,833,742
E02003225,0.9182771949199338,0.08172280508006627,0.3070358429736393,1811,5273,0.942457231726283,0.05754276827371695,2572,2424
E02003226,0.9620338983050848,0.03796610169491525,0.15873758036236119,4425,8555,0.924187725631769,0.07581227436823104,2216,2048
E02003227,0.9814634146341463,0.018536585365853658,0.14463511220064115,2050,5303,0.9500657030223391,0.04993429697766097,761,723
E02003228,0.9444212285833682,0.055578771416631846,0.25643086816720256,2393,6220,0.9504286246738726,0.049571375326127466,2683,2550
E02003229,0.9834815756035579,0.016518424396442185,0.32493483927019984,1574,4604,0.9103448275862069,0.0896551724137931,290,264
E02003230,0.9039381670960618,0.09606183290393816,0.31934156378600825,2717,7290,0.9344221105527638,0.06557788944723618,3980,3719
E02003231,0.9685007974481659,0.03149920255183413,0.15647810218978103,2508,6576,0.8374485596707819,0.16255144032921812,486,407
E02003232,0.9559691330004539,0.04403086699954607,0.361055634807418,2203,7010,0.9175170068027211,0.0824829931972789,1176,1079
E02003233,0.9018947368421053,0.09810526315789474,0.21703100442920417,2375,6999,0.9165173772841275,0.08348262271587245,2791,2558
E02003234,0.8721076987799747,0.12789230122002523,0.22543434918826546,2377,7022,0.9194275112642459,0.08057248873575404,3773,3469
E02003235,0.9384124087591241,0.061587591240875914,0.331636648394675,2192,7662,0.9362305148795466,0.06376948512045347,2117,1982
E02003236,0.8879105993904504,0.11208940060954961,0.3036980264418471,2953,10438,0.8323201621073961,0.16767983789260385,1974,1643
E02006847,0.9749559082892416,0.025044091710758377,0.3724455271349303,2835,7389,0.8818635607321131,0.11813643926788686,601,530
E02006848,0.9848542218856494,0.015145778114350625,0.35555204549044384,2641,6331,0.9113082039911308,0.08869179600886919,451,411
E02006849,0.9435879467414156,0.05641205325858444,0.3636476580941732,2854,8049,0.9065583284968078,0.0934416715031921,1723,1562
