LSOA GVA Estimates (millions),Urban_rura,RUC21NM,LU_pct_micro_2025_msoa,LU_pct_small_2025_msoa,LU_pct_medium_2025_msoa,LU_pct_large_2025_msoa,enterprises_per_1k_residents_2025,total_enterprises_2025_msoa,turnover_diversity_1-HHI_2025_msoa,LU_diversity_1-HHI_2025,share_enterprises_creative_2025_msoa,share_enterprises_foundational_2025_msoa,share_enterprises_green_aligned_2025_msoa,share_enterprises_industrial_2025_msoa,share_enterprises_kibs_2025_msoa,share_enterprises_anchor_2025_msoa,share_enterprises_public_2025_msoa,share_enterprises_private_2025_msoa,employment_rate_per_pop,full_to_part_ratio,total_employees,Apprenticeship %,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills %","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma %","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma %","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy) %",No qualifications %,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown) %",IMD_decile,Income_decile,Employment_decile,Education_decile,AdultSkills_decile,Percentage of connections receiving less than 10Mbit/s broadband,Average download speed (Mbit/s),Percentage of homes unable to receive at least 30Mbit/s broadband,bus_stop_density,dist_to_primary_m,Mid-2024 population,Working_Age_Pop,Pct_Working_Age,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,area_km2,LU_micro_2025_msoa,LU_small_2025_msoa,LU_medium_2025_msoa,LU_large_2025_msoa,LU_total_2025_msoa,full_time_employees,part_time_employees
15.064,Urban,Urban: Nearer to a major town or city,0.8448275862068966,0.1206896551724138,0.0344827586206896,0.0,105.4481546572935,240,0.7708333333333334,0.8961111111111111,0.1666666666666666,0.3958333333333333,0.0208333333333333,0.0208333333333333,0.4583333333333333,0.083333333,0.0,1.0,0.035149385,0.6,80,3.866432337434095,6.985940246045693,11.203866432337431,15.86115992970123,26.889279437609844,7.205623901581721,1.8892794376098416,10,9,10,9,9,0.0,113.5262865,0.0,3.849735190736679,617.7141308336493,2276,1519,0.6673989455184535,E01015471,Swindon 028A,E02006849,Swindon 028,1.2987906316338629,245,35,10,0,290,30,50
495.26,Rural,Smaller rural: Nearer to a major town or city,0.8202247191011236,0.1404494382022472,0.0280898876404494,0.0112359550561797,351.4010105649977,765,0.8165685595567866,0.9216639313218028,0.1437908496732026,0.3529411764705882,0.052287582,0.045751634,0.4052287581699346,0.065359477,0.006535948,0.9934640522875816,4.708314193844741,0.28125,10250,5.006890215893431,6.522737712448324,11.667432246210382,14.377583830960036,24.02388608176389,10.702802021129996,2.067064768029398,7,7,7,6,8,0.01843318,47.26703755,56.2,0.93727696562085,574.6975359805348,2177,1334,0.6127698667891593,E01015473,Swindon 008A,E02003219,Swindon 008,39.4760581526628,730,125,25,10,890,2250,8000
99.694,Urban,Urban: Nearer to a major town or city,0.8235294117647058,0.1411764705882353,0.0235294117647058,0.0117647058823529,124.29831595829992,310,0.8303850156087409,0.9058956916099772,0.048387097,0.5806451612903226,0.0161290322580645,0.0161290322580645,0.2903225806451613,0.064516129,0.0,1.0,0.7016840417000801,0.1666666666666666,1750,3.5685645549318363,17.802726543704892,10.66559743384122,6.976744186046512,15.99839615076183,16.11868484,7.698476343223737,4,5,7,2,1,0.0,105.9700355,0.0,18.02783961,350.5101129560774,2494,1778,0.7129109863672815,E01015475,Swindon 015A,E02003226,Swindon 015,0.554697635,350,60,10,5,425,250,1500
19.806,Urban,Urban: Nearer to a major town or city,0.8235294117647058,0.1411764705882353,0.0235294117647058,0.0117647058823529,171.36539524599226,310,0.8303850156087409,0.9058956916099772,0.048387097,0.5806451612903226,0.0161290322580645,0.0161290322580645,0.2903225806451613,0.064516129,0.0,1.0,0.1381978993919292,1.0,250,5.306799336650083,10.226644555002764,11.995577667219456,9.342177998894416,19.955776672194585,16.362631288004422,3.5378662244333885,4,4,4,3,2,0.0,109.5189655,0.0,8.041326649150886,473.1268036429945,1809,1288,0.7119955776672194,E01015477,Swindon 015C,E02003226,Swindon 015,0.6217879484510145,350,60,10,5,425,125,125
194.209,Urban,Urban: Nearer to a major town or city,0.8955223880597015,0.074626866,0.0298507462686567,0.0,181.31530424093424,295,0.7657550535077289,0.9048442906574394,0.135593220338983,0.423728814,0.033898305,0.033898305,0.4067796610169492,0.06779661,0.0,1.0,0.2765826674861709,0.5,450,5.347264904732637,9.465273509526735,11.92378610940381,13.275968039336204,24.76951444376153,13.398893669330056,2.335586969883221,7,6,7,4,4,0.00621118,124.7445313,0.6,3.747640112724047,58.39821858255132,1627,1132,0.6957590657652121,E01015478,Swindon 021A,E02003232,Swindon 021,1.6010075192729163,300,25,10,0,335,150,300
127.924,Urban,Urban: Nearer to a major town or city,0.8,0.14,0.06,0.0,82.79483037156704,205,0.8350459707950243,0.912,0.097560976,0.5121951219512195,0.048780488,0.048780488,0.3658536585365853,0.024390243902439,0.0238095238095238,0.9761904761904762,0.9087237479806138,0.8,2250,3.836833602584814,10.460420032310177,11.308562197092083,11.268174474959611,21.60743134087237,12.762520193861066,2.9079159935379644,6,5,6,4,3,0.0,109.8499327,0.7,3.8792648373549583,43.54926756099662,2476,1711,0.6910339256865913,E01015479,Swindon 017A,E02003228,Swindon 017,2.3200272158104496,200,35,15,0,250,1000,1250
13.183,Urban,Urban: Nearer to a major town or city,0.8235294117647058,0.1411764705882353,0.0235294117647058,0.0117647058823529,103.43677010343676,310,0.8303850156087409,0.9058956916099772,0.048387097,0.5806451612903226,0.0161290322580645,0.0161290322580645,0.2903225806451613,0.064516129,0.0,1.0,0.075075075,0.8,225,3.903903903903904,17.684351017684353,10.71071071071071,6.506506506506507,14.714714714714711,19.853186519853185,10.844177510844178,4,4,9,2,1,0.0,104.7119645,0.0,10.030860486006317,317.00429028835686,2997,2259,0.7537537537537538,E01015480,Swindon 015D,E02003226,Swindon 015,0.2990770337385501,350,60,10,5,425,100,125
15.851,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,85.91065292096219,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.1718213058419244,0.5,300,5.097365406643757,10.595647193585338,16.151202749140893,15.40664375715922,20.4467354,13.344788087056129,1.431844215,8,7,8,5,5,0.0,91.66833856,0.0,8.392788313000466,636.0191069433178,1746,1136,0.6506300114547537,E01015481,Swindon 013A,E02003224,Swindon 013,0.8340493932340661,155,15,0,0,170,100,200
77.772,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,118.01730920535012,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.3304484657749803,0.05,420,6.451612903225806,12.667191188040912,13.217938630999212,15.420928402832416,18.17466561762392,15.263571990558615,1.9669551534225016,9,10,8,5,4,0.0,124.5655093,0.0,8.119900544051017,457.72282177183774,1271,788,0.6199842643587726,E01015482,Swindon 013B,E02003224,Swindon 013,0.8620795244996561,155,15,0,0,170,20,400
7.25,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,109.7293343087052,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.054864667,0.5,75,8.632040965618142,12.070226773957572,12.070226773957572,13.89904901243599,17.702999268471103,18.361375274323336,3.584491587417703,9,9,9,6,4,0.0,117.3211382,0.0,10.631361718817264,382.94573612391787,1367,783,0.5727871250914411,E01015483,Swindon 013C,E02003224,Swindon 013,0.7524906227054794,155,15,0,0,170,25,50
