LSOA GVA Estimates (millions),Urban_rura,RUC21NM,LU_pct_micro_2025_msoa,LU_pct_small_2025_msoa,LU_pct_medium_2025_msoa,LU_pct_large_2025_msoa,enterprises_per_1k_residents_2025,total_enterprises_2025_msoa,turnover_diversity_1-HHI_2025_msoa,LU_diversity_1-HHI_2025,share_enterprises_creative_2025_msoa,share_enterprises_foundational_2025_msoa,share_enterprises_green_aligned_2025_msoa,share_enterprises_industrial_2025_msoa,share_enterprises_kibs_2025_msoa,share_enterprises_anchor_2025_msoa,share_enterprises_public_2025_msoa,share_enterprises_private_2025_msoa,employment_rate_per_pop,full_to_part_ratio,total_employees,Apprenticeship %,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills %","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma %","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma %","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy) %",No qualifications %,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown) %",IMD_decile,Income_decile,Employment_decile,Education_decile,AdultSkills_decile,Percentage of connections receiving less than 10Mbit/s broadband,Average download speed (Mbit/s),Percentage of homes unable to receive at least 30Mbit/s broadband,bus_stop_density,dist_to_primary_m,Mid-2024 population,Working_Age_Pop,Pct_Working_Age,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,area_km2,LU_micro_2025_msoa,LU_small_2025_msoa,LU_medium_2025_msoa,LU_large_2025_msoa,LU_total_2025_msoa,full_time_employees,part_time_employees,log_full_time_employees,log_total_employees,log_part_time_employees,log_Working_Age_Pop,log_Mid-2024 population,log_area_km2,log_dist_to_primary_m,log_bus_stop_density,log_enterprises_per_1k_residents_2025,log_total_enterprises_2025_msoa,log_LU_micro_2025_msoa,log_LU_small_2025_msoa,log_LU_medium_2025_msoa,log_LU_large_2025_msoa,log_LU_total_2025_msoa,log_LSOA GVA Estimates (millions),gva_per_capita,gva_per_worker,log_gva_per_worker,employees_per_enterprise,full_time_share,log_gva_per_capita,log_employees_per_enterprise
15.064,Urban,Urban: Nearer to a major town or city,-0.2225381803937283,0.20416546795776777,0.4393847261895929,-0.566902634222329,105.4481546572935,240,-0.49215603519396234,0.17769478191515775,0.5526873968259429,0.12479137706666193,-0.7574986720902371,-0.8319006002221051,0.32778314751438536,0.7328291961814616,-0.46849049049122543,0.4684904898168781,-0.4797125274049829,0.06402475749090324,80,0.03455747196270687,-0.24328784961894492,0.3696794249353158,0.7543650754211998,-0.3753805014489283,-0.9528386024673506,-0.2735267231343479,1.1069371394734977,0.7888991004103222,1.0420379607057986,0.9621369425235285,0.8890947439495654,-0.15518256140665085,0.8733997246121564,-0.2602244843772746,3.849735190736679,617.7141308336493,2276,1519,0.2786214523139009,E01015471,Swindon 028A,E02006849,Swindon 028,1.2987906316338629,245,35,10,0,290,30,50,-1.096316108017725,-1.1713940512810848,-1.1529206112116759,1.1704975321708944,1.2288921768287377,-0.42751402568335517,0.1593244852259434,0.3151491333122203,-0.9760846209395366,-0.4817042774855797,-0.4576015098193355,-0.0571867916596543,0.2533797803321558,-0.642865727551799,-0.41315829669495147,2.7765807435093186,0.0066186291739894,188300.0,12.145797025305598,0.3333333333333333,0.2637352381242579,0.006596822216476838,-0.8971761172413021
495.26,Rural,Smaller rural: Nearer to a major town or city,-0.5956040470931775,0.6077657371728288,0.10127899306100564,1.1889750862237116,351.4010105649977,765,0.7813003889248701,1.4969156632008103,0.14171163627522168,-0.27325775281759107,0.4211956747534409,0.4060546786674771,-0.21409324599500779,0.033397327691258395,0.29683664769751555,-0.29683661451711013,4.537043466914662,-0.9332087920024582,10250,0.8953246786492605,-0.4277891062103725,0.5554478600701944,0.4123011805247226,-0.6657254782465215,-0.1789133098796401,-0.06625398916002857,-0.12732023931697894,-0.004816233824238972,-0.19460046409724227,-0.1339010860101869,0.5329381717500311,0.49406202681882944,-1.7221555256220675,5.827824218325733,0.93727696562085,574.6975359805348,2177,1334,-0.6084349943945382,E01015473,Swindon 008A,E02003219,Swindon 008,39.4760581526628,730,125,25,10,890,2250,8000,2.4038491278629603,2.604481146083318,2.6603166497099786,0.6921986635837344,1.0388005421866402,1.9541174434927506,0.09712909668529755,-0.8607514831481432,1.1024026421496522,1.527478598568466,1.5489157731208691,1.4039291482905134,1.0960686800138528,1.9426312842964764,1.5596390407020921,6.207099982931871,0.2274965548920532,48318.04878048781,10.785581146580652,13.398692810457517,-1.088412619919465,0.20497677407734807,2.577193044866563
99.694,Urban,Urban: Nearer to a major town or city,-0.5454933007555959,0.6226156202039248,-0.13991515025104836,1.2716046260094134,124.29831595829992,310,1.1660072368139054,0.6828453994318741,-1.5722656098911079,1.8398878583651712,-0.9337843351824272,-1.0656129399004426,-1.3865900577572663,0.0005794133034124183,-0.46849049049122543,0.4684904898168781,0.23582862536864452,-1.2916914405131439,1750,-0.19025996667233952,4.065217651635055,0.1539745853207523,-1.2940892342247439,-1.478933439049577,1.0196212090759262,6.499181249903779,-1.3615776181074557,-0.7985315680588001,-0.19460046409724227,-1.595285124055141,-1.9601578336467087,-0.15518256140665085,0.5774007921470818,-0.2602244843772746,18.02783961,350.5101129560774,2494,1778,1.0176371958864145,E01015475,Swindon 015A,E02003226,Swindon 015,0.554697635,350,60,10,5,425,250,1500,0.6120227449822685,1.2260218769634368,1.3980855260487752,1.7503758842525035,1.6198793086772325,-0.7522541611446536,-0.32867330860102395,2.0668493664658554,-0.6930072409087589,-0.0386568069858768,0.19728583909387257,0.5578750415473739,0.2533797803321558,1.2890738388637537,0.25873676012630276,4.612086215029821,0.0399735364875701,56968.0,10.950262539222262,5.645161290322581,-1.7550177264060065,0.03919526714450561,1.448131890358112
19.806,Urban,Urban: Nearer to a major town or city,-0.5454933007555959,0.6226156202039248,-0.13991515025104836,1.2716046260094134,171.36539524599226,310,1.1660072368139054,0.6828453994318741,-1.5722656098911079,1.8398878583651712,-0.9337843351824272,-1.0656129399004426,-1.3865900577572663,0.0005794133034124183,-0.46849049049122543,0.4684904898168781,-0.3690874428149862,1.3154550941100236,250,1.121682829186363,1.0475384604192453,0.6869481983894447,-0.7486979301796595,-1.0779394347428215,1.0736065423056622,1.6484940065426097,-1.3615776181074557,-1.1953892351760806,-1.4312388889002832,-1.2299391145439023,-1.6040012614471744,-0.15518256140665085,0.7164220463898638,-0.2602244843772746,8.041326649150886,473.1268036429945,1809,1288,1.002772965925905,E01015477,Swindon 015C,E02003226,Swindon 015,0.6217879484510145,350,60,10,5,425,125,125,0.049098078738744125,-0.2891775207491528,-0.4707113397823521,0.5629686834321442,0.24733150304117635,-0.7171746649865274,-0.07040410101582567,1.1133341683188571,-0.1392832427340109,-0.0386568069858768,0.19728583909387257,0.5578750415473739,0.2533797803321558,1.2890738388637537,0.25873676012630276,3.035241406648704,0.0109485903814262,79224.0,11.28004718455912,0.8064516129032258,1.3507560651790154,0.010889088479764145,-0.4537532926594826
194.209,Urban,Urban: Nearer to a major town or city,0.5461730478165714,-0.7366826214526325,0.19440716650076711,-0.566902634222329,181.31530424093424,295,-0.6335561899847745,0.6285644989381168,-0.005562970411236468,0.3836678854829149,-0.26791113152079954,-0.18282541409078606,-0.19826791194727503,0.1282355464880002,-0.46849049049122543,0.4684904898168781,-0.2205280310978237,-0.24883282666387677,450,1.1522244516901765,0.7442717370451442,0.6581785934009224,0.1583047804195671,-0.5901723437974059,0.41773159820014455,0.2468051973302173,-0.12732023931697894,-0.40167390094151956,-0.19460046409724227,-0.8645931050326638,-0.8916881170481059,0.06358462914290919,1.3128489283154048,-0.1952275231384524,3.747640112724047,58.39821858255132,1627,1132,0.7391276164206667,E01015478,Swindon 021A,E02003232,Swindon 021,1.6010075192729163,300,25,10,0,335,150,300,0.1969397530134292,0.16793110986793988,0.18613321582714693,0.08754928922705388,-0.2058536923242781,-0.3249563877680928,-1.8632330032230782,0.2878846899100749,-0.04184303444124774,-0.12454588089765045,-0.08584572373403208,-0.43673174026470163,0.2533797803321558,-0.642865727551799,-0.15966499190923586,5.274070779473495,0.1193663183773816,431575.5555555556,12.975200191047264,1.5254237288135593,-0.09860503756066138,0.11276273802599611,0.03546279863400494
13.183,Urban,Urban: Nearer to a major town or city,-0.5454933007555959,0.6226156202039248,-0.13991515025104836,1.2716046260094134,103.43677010343676,310,1.1660072368139054,0.6828453994318741,-1.5722656098911079,1.8398878583651712,-0.9337843351824272,-1.0656129399004426,-1.3865900577572663,0.0005794133034124183,-0.46849049049122543,0.4684904898168781,-0.4368513288750805,0.6897399258004636,225,0.06283935436239688,4.018066715022421,0.1720531894737076,-1.4025105901140824,-1.6090064902780237,1.8460661902720799,10.166627150756211,-1.3615776181074557,-1.1953892351760806,0.6298251524381183,-1.595285124055141,-1.9601578336467087,-0.15518256140665085,0.5281187244966995,-0.2602244843772746,10.030860486006317,317.00429028835686,2997,2259,1.6808341773166664,E01015480,Swindon 015D,E02003226,Swindon 015,0.2990770337385501,350,60,10,5,425,100,125,-0.13154967907527929,-0.37101662877446423,-0.4707113397823521,2.632362128001359,2.4052609152727396,-0.9014021992286807,-0.4151325927730287,1.368200754294041,-1.0092057727385748,-0.0386568069858768,0.19728583909387257,0.5578750415473739,0.2533797803321558,1.2890738388637537,0.25873676012630276,2.6520440643124705,0.0043987320653987,58591.11111111111,10.978355343825374,0.7258064516129032,0.867635697599123,0.004389085920367359,-0.5204385395199863
15.851,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,85.91065292096219,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.3329918988405466,-0.24883282666387677,300,0.9636113542797515,1.1945183354542461,2.3522650646745302,0.6495685824033641,-1.028191500434809,0.4057580363280984,-0.806831968188828,0.2840988869465133,-0.004816233824238972,0.21761234417043804,-0.4992470955214254,-0.5355315448485717,-0.15518256140665085,0.017164369789086868,-0.2602244843772746,8.392788313000466,636.0191069433178,1746,1136,0.0063307344099017655,E01015481,Swindon 013A,E02003224,Swindon 013,0.8340493932340661,155,15,0,0,170,100,200,-0.13154967907527929,-0.14747941349814198,-0.1184472996013085,0.10053780019754888,0.09583377566519696,-0.615047641439201,0.18448913311431142,1.1622034804754398,-1.3281573056918845,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,2.8244100022184053,0.0090784650630011,52836.66666666666,10.87497959919544,2.0,-0.09860503756066138,0.009037503524330703,0.2869061696319571
77.772,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,118.01730920535012,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.1627017875331329,-1.656691955360387,420,1.9857375167733118,2.019648688462421,1.1767946810585963,0.6528621522716949,-1.258416103594656,0.8303847905760536,-0.182967744269738,0.6955180132100055,1.1857567675276026,0.21761234417043804,-0.4992470955214254,-0.8916881170481059,-0.15518256140665085,1.3058361489771109,-0.2602244843772746,8.119900544051017,457.72282177183774,1271,788,-0.49128899775499635,E01015482,Swindon 013B,E02003224,Swindon 013,0.8620795244996561,155,15,0,0,170,20,400,-1.4144364491315344,0.11423815168328423,0.40249803985842025,-1.2460731460256855,-1.2610954132927794,-0.6024536854754355,-0.09891094589504996,1.1244224366226652,-0.7823000343845122,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,4.36655760376995,0.0611896144767899,185171.42857142855,12.12904271630703,2.8,-2.5832240708286784,0.059390556649304836,0.632069981910966
7.25,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,109.7293343087052,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.4585476930370606,-0.24883282666387677,75,3.631428259145911,1.7818678549178462,0.7168629318058243,0.3019667770473386,-1.3062091770732356,1.5159284577303191,1.70285263351986,0.6955180132100055,0.7888991004103222,0.6298251524381183,-0.1339010860101869,-0.8916881170481059,-0.15518256140665085,1.0220544016554773,-0.2602244843772746,10.631361718817264,382.94573612391787,1367,783,-1.257667044522826,E01015483,Swindon 013C,E02003224,Swindon 013,0.7524906227054794,155,15,0,0,170,25,50,-1.2399860971656507,-1.2210942781769651,-1.1529206112116759,-1.2695028891014621,-0.949950392462375,-0.6528175288728356,-0.25249422049152737,1.4361275317896909,-0.9076229341762722,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,2.110213200346589,0.0053035844915874,96666.66666666669,11.479034258068626,0.5,-0.09860503756066138,0.005289570016820161,-0.7251948500175874
77.772,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,102.59917920656636,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.4440177713298655,1.3154550941100236,100,2.3820834020487425,1.1152810686377654,0.7040701405543418,0.2987480383259821,-1.360393043185046,1.6151757796768125,2.1489999085353233,0.6955180132100055,0.7888991004103222,0.21761234417043804,-0.4992470955214254,-0.8916881170481059,-0.15518256140665085,0.7813178642047308,-0.2602244843772746,2.6898130792162727,1005.4758685580172,1462,839,-1.2400606510231535,E01015484,Swindon 013D,E02003224,Swindon 013,0.7435460907873708,155,15,0,0,170,50,50,-0.6896746243019372,-0.9992638372222562,-1.1529206112116759,-1.0152306151776227,-0.6628387215854661,-0.6570662517447968,0.5792776972339471,-0.03513003692835572,-1.0231867842087645,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,4.36655760376995,0.0531956224350205,777720.0,13.56412312701874,0.6666666666666666,1.3507560651790154,0.051828992189127544,-0.5713523641519672
10.289,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,113.72251705837756,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.46861269209356415,-0.7702621335885103,60,1.5796471805114718,2.0474235925068296,2.0777834098900043,0.8206387154033246,-0.9259602419459239,0.40546014734928426,1.147814717662193,0.6955180132100055,0.7888991004103222,0.21761234417043804,-0.1339010860101869,-0.8916881170481059,-0.15518256140665085,1.1493470956408893,-0.2602244843772746,3.763517741088259,465.8682789449508,1319,893,0.43497701941729927,E01015485,Swindon 013E,E02003224,Swindon 013,0.5314177154434457,155,15,0,0,170,15,45,-1.636555761872673,-1.3925911970079812,-1.2307499597726974,-0.7856105145971483,-1.1026936880131717,-0.7647813429961947,-0.08371961502341153,0.29216308189935036,-0.8461118351677458,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,2.4238288002794097,0.0078006065200909,171483.33333333334,12.052247190589346,0.4,-0.8232855889304995,0.007770339090028843,-0.825935006709972
12.036,Urban,Urban: Nearer to a major town or city,0.7924636264578503,-0.4587258647361554,-1.3843371070494555,-0.566902634222329,102.04081632653062,150,-1.1519203076018991,-2.229689485270823,-0.6450133910647319,1.710164197234229,-0.2890824940792279,-0.2108935427798505,-1.6279738050595158,1.3813933129360423,-0.46849049049122543,0.4684904898168781,-0.44441738216347076,1.3154550941100236,100,2.4561141884151865,1.5262858817301632,1.059471193923927,0.07742229620486997,-1.2871435587183062,0.8699100388917218,0.8548661347404679,-0.12732023931697894,-0.004816233824238972,-0.6068132723649226,-0.8645931050326638,-0.8916881170481059,-0.15518256140665085,0.5600170773050176,-0.2602244843772746,9.315328346872684,1046.2204484107483,1470,843,-1.2465885909690655,E01015486,Swindon 013F,E02003224,Swindon 013,0.966149518822002,155,15,0,0,170,50,50,-0.6896746243019372,-0.9992638372222562,-1.1529206112116759,-0.997722334395802,-0.6395183767108216,-0.5572982059260452,0.6135291445271213,1.2822599401078816,-1.0325698745447305,-1.2940004876564601,-1.2967665903074719,-1.0029866715235958,-2.0956980584016613,-0.642865727551799,-1.3504568025857666,2.567714760975316,0.0081877551020408,120360.0,11.698250839117575,0.6666666666666666,1.3507560651790154,0.008154417286192244,-0.5713523641519672
7.887,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,120.16021361815754,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,-0.4672815593415311,-0.5616904108186568,70,1.6005419305782034,2.026175869106809,2.112972123604369,0.0832857875359967,-1.1248665019304231,1.0424027093021255,0.9482594270246626,0.6955180132100055,1.1857567675276026,0.6298251524381183,-0.4992470955214254,-0.8916881170481059,-0.15518256140665085,0.9934926678491588,-0.2602244843772746,4.813579580449467,711.8849543723603,1498,923,-0.5534699135806164,E01015487,Swindon 023A,E02003234,Swindon 023,0.8309824182083015,170,50,20,5,245,20,50,-1.4144364491315344,-1.2741779999643323,-1.1529206112116759,-0.6639662653307105,-0.558884328467368,-0.6164373009880607,0.28160486765445386,0.5474386324626472,-0.7513169501315154,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,2.184589534756338,0.0052650200267022,112671.42857142857,11.632240025655909,0.3888888888888889,-0.5127082097719975,0.005251208267011411,-0.8375697544992622
57.559,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,120.32085561497324,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,1.1689054327728365,-0.740466173192817,2350,0.5470534267150939,1.899802781644927,1.2105369831715846,-0.3596772698818679,-1.379610231627527,1.9051830015688884,0.7190421555205607,-1.7729967443709478,-1.5922469022933612,-1.8434516971679635,-1.2299391145439023,-1.6040012614471744,0.6275178392754457,0.8413879471824293,-0.02190229316826002,5.229797391614642,543.4796471551538,1496,902,-0.768031372598041,E01015488,Swindon 023B,E02003234,Swindon 023,1.147271978379179,170,50,20,5,245,600,1750,1.325217501283464,1.4558605236894502,1.5142858265547916,-0.7486938168794703,-0.5645937520706317,-0.48412942374348916,0.049009985597727755,0.6360467073708603,-0.7490164407712812,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,4.070034793004519,0.0384752673796791,24493.191489361703,10.106191286357554,13.055555555555555,-0.7770293835239143,0.037753548335148775,2.541974597527763
15.488,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,123.88162422573986,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,-0.3327380043497025,2.8797430148839243,250,0.6485816120106419,1.5521327948728458,1.3682926053841469,0.5407349618745179,-0.8544835860442959,0.2854401566032723,0.41241032401302763,0.2840988869465133,0.3920414332930416,-0.19460046409724227,-0.1339010860101869,-0.8916881170481059,-0.15518256140665085,1.3401814377217955,-0.2602244843772746,5.988494378626504,313.4339111086133,1453,835,-1.2270431074231711,E01015489,Swindon 023C,E02003234,Swindon 023,1.836855694356169,170,50,20,5,245,150,100,0.1969397530134292,-0.2891775207491528,-0.6375279732833052,-1.032822468022016,-0.6892270252666921,-0.25288670639559035,-0.4248777573343211,0.7833113736868655,-0.6987909372955747,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,2.802632843588158,0.0106593255333792,61952.0,11.0341313120349,1.3888888888888888,2.2203727268228213,0.010602915431326887,-0.045693248153730916
5.126,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,144.23076923076923,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,-0.4787374374355632,2.097599054496974,45,1.6521373228138068,1.601973330207591,1.2744143889061654,0.7368642181886814,-1.0783299123808776,0.23653885371248895,0.8868952445943424,-0.12732023931697894,-0.004816233824238972,-0.19460046409724227,-0.4992470955214254,-0.5355315448485717,-0.15518256140665085,1.026875937176668,-0.2602244843772746,2.0052592133422023,323.0892719834755,1248,797,-0.1886563710137326,E01015490,Swindon 023D,E02003234,Swindon 023,0.4986886450122733,170,50,20,5,245,25,20,-1.2399860971656507,-1.6127409010718452,-1.8221917340370681,-1.204271342427741,-1.3391271109192133,-0.7827191154887752,-0.3987733845878265,-0.2980966617202614,-0.43669035856009647,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,1.812542008410584,0.0041073717948717,113911.11111111112,11.643182474872171,0.25,1.8338764327589079,0.004098959570230064,-0.9914122403648823
174.488,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,129.6829971181556,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,1.1454336177516196,-1.0980176979411371,2150,1.140259458084698,2.6848312720278895,2.116132967808638,-0.1451939389695211,-1.4939555442729275,1.8689897243354117,0.46368640113608606,-1.7729967443709478,-1.5922469022933612,-2.255664505435644,-1.2299391145439023,-1.2478446892476402,-0.15518256140665085,0.8013631580052842,-0.2602244843772746,4.153884937979576,1046.8507749591913,1388,884,-0.2168157619251752,E01015491,Swindon 023E,E02003234,Swindon 023,1.925907943875583,170,50,20,5,245,400,1750,0.9947071179798971,1.3865097070476202,1.5142858265547916,-0.8229007434224134,-0.8848033142427975,-0.22722269828756897,0.6140484885500762,0.39309481662142753,-0.6199508043186892,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,5.167570664499794,0.1257118155619596,81157.20930232559,11.304155729900453,11.944444444444445,-1.3794357795166552,0.11841556051431534,2.4217294764423074
81.796,Urban,Urban: Nearer to a major town or city,-2.511470826456988,1.9074748874362146,2.933045188809037,2.622344612474572,132.35294117647058,180,1.2910698012763073,0.7501832059662081,-1.4434805750071773,0.3181295258675851,1.5845822679291977,2.273134753229916,-0.6642674806028106,0.7328291961814616,2.7841497036947462,-2.7841497036025293,0.3705793718694827,-1.030976787050827,1125,1.389595002985614,2.5973893340315617,1.59627409134944,-0.5631188621185448,-1.535395472362068,1.553114922228022,1.552912323026382,-1.7729967443709478,-1.5922469022933612,-1.8434516971679635,-1.595285124055141,-1.6040012614471744,-0.15518256140665085,0.9694265015784879,-0.2602244843772746,3.467717554218876,1247.4972273331389,1360,892,0.09161724269851902,E01015492,Swindon 023F,E02003234,Swindon 023,1.4418706027302963,170,50,20,5,245,225,900,0.5263242847734619,0.8816266603016112,1.0131171735829214,-0.7897352897040725,-0.9718885156989865,-0.3773782583172483,0.7652621385462106,0.2100116274155671,-0.5848354861595829,-0.9791413278162239,-1.1276209730199527,0.34904844659764694,0.8868426176294886,1.2890738388637537,-0.709322169060537,4.416379751045544,0.0601441176470588,72707.55555555556,11.19421433961753,6.25,-1.2580939197524024,0.05840485892664169,1.5753294858534181
